,id,name,review_count,rating,price,latitude,longitude,address,city,state,country,zip_code,cuisines
288,FzYi3AVHoYZnWXe1BQrQEw,Mott St,945,4.0,2,41.9071254164458,-87.6673834605751,1401 N Ashland Ave,Chicago,IL,US,60622,"Asian Fusion, Bars"
289,r4V4cl1TGN2C_qC51YpEMA,Barcocina West Town,68,4.0,3,41.896263,-87.672913,1814 W Chicago Ave,Chicago,IL,US,60622,"Tacos, New Mexican Cuisine, Tapas/Small Plates"
290,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2270,4.0,2,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Chicago,IL,US,60603,"American (New), Seafood, Breakfast & Brunch"
291,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2560,4.0,2,41.930156679293,-87.707222394898,2657 N Kedzie Ave,Chicago,IL,US,60647,"Gastropubs, Whiskey Bars"
292,dro6ttzG0H2PlES0gI8LIg,Tortello,405,4.5,2,41.90343739642855,-87.67186413269891,1746 W Division St,Chicago,IL,US,60622,"Pasta Shops, Italian"
293,ruWJerAc9VW23GvegYddnQ,Gaijin,604,4.5,2,41.88583,-87.65182,950 W Lake St,Chicago,IL,US,60607,Japanese
294,DeNcVk-vHsRj2f7aovoaLg,Jack’s Wicker Park,68,4.0,3,41.90346,-87.67947,2056 W Division St,Chicago,IL,US,60622,"French, Bars, Sandwiches"
295,XHGWwHgX9p8dn2nOhqfJoQ,Little Wok Wicker Park,109,4.0,2,41.90351,-87.6768,1950 W Division St,Chicago,IL,US,60622,"Asian Fusion, Chinese, Sushi Bars"
296,KVXeukiPVOwrOMuD4mM7ug,Tandoor Char House,12,4.5,3,41.90009,-87.68733,1022 N Western Ave,Chicago,IL,US,60622,"Indian, Pakistani, Halal"
297,8YZUf9XTc9Z2jW5adHE5nA,Shabu Plus Rotary Hot Pot Wicker Park,73,4.5,3,41.9062306,-87.6713937,1352 N Milwaukee Ave,Chicago,IL,US,60622,Hot Pot
298,EYjyi_lytYaM1Ty7-kNKSg,Phodega,245,4.5,2,41.90334127310094,-87.6758734,1924 W Division St,Chicago,IL,US,60622,"Vietnamese, Hainan, Noodles"
299,UzksnYYQvh2tThSGTqUslA,2AM Izakaya,31,4.5,3,41.92228,-87.64465,2218 N Lincoln Ave,Chicago,IL,US,60614,"Japanese, Sushi Bars, Chinese"
300,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,9964,4.5,3,41.88418081770163,-87.64794679938692,809 W Randolph,Chicago,IL,US,60607,"American (New), Bakeries, Coffee & Tea"
301,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8287,4.5,3,41.890694,-87.624782,444 N Michigan Ave,Chicago,IL,US,60611,"Tapas/Small Plates, Mediterranean, American (New)"
302,okaqMJEoHfHblpKz9Q-CMA,The Perch,454,4.5,2,41.90348,-87.676221,1932 W Division,Chicago,IL,US,60622,"Breweries, American (New)"
303,hMNHD9LHs_R3vFCfTOGorw,Izakaya Shinya,63,4.5,3,41.91014,-87.68452,2255 W North Ave,Chicago,IL,US,60647,"Ramen, Cocktail Bars, Izakaya"
304,W2QV6SILHer3qB_-CZ1z1A,etta - Bucktown,1034,4.5,3,41.910731,-87.674285,1840 W North Ave,Chicago,IL,US,60622,"Pizza, American (New), Breakfast & Brunch"
305,VPJk-SEWSWS_nGoQvM-COw,Penumbra,849,5.0,2,41.924426,-87.710898,3309 W Fullerton Ave,Chicago,IL,US,60647,"Wine Bars, Seafood, Steakhouses"
306,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2143,4.5,2,41.8842528,-87.6293151,145 N Dearborn St,Chicago,IL,US,60602,"American (Traditional), Breakfast & Brunch, Beer, Wine & Spirits"
307,0qW7MJ0trxnoWzCHBiBgbQ,Union,51,4.5,3,41.9218,-87.69769,2202 N California Ave,Chicago,IL,US,60647,"American (New), Pubs"
308,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,915,4.0,2,41.92555,-87.70112,2427 N Milwaukee Ave,Chicago,IL,US,60647,American (New)
309,0ucCbCekcn5XdzvRXnHl2w,Desert Hawk,9,5.0,3,41.90288666670101,-87.67917606979607,2049 W Division St,Chicago,IL,US,60622,"American (Traditional), Bars"
310,VIV1fLOzjtzBeQwJBPIN2w,Lone Owl Pub,18,4.5,3,41.90976697949441,-87.67605189999999,1547 N Milwaukee Ave,Chicago,IL,US,60622,"Cocktail Bars, Lounges, Burgers"
311,wfkj7DK8YzhdwhhFc2OntA,Giant,640,4.5,3,41.9171,-87.70746,3209 W Armitage Ave,Chicago,IL,US,60647,"American (New), Beer Bar, Wine Bars"
312,ngB0iQM1Yz7Nx_tQZqU7NA,Daisies,441,4.5,3,41.924443845390954,-87.69964666704485,2375 N Milwaukee Ave,Chicago,IL,US,60647,"Pasta Shops, American (New), Cocktail Bars"
313,0IYXh7l_VppKw5y97FehoA,Kasama,640,4.5,2,41.899692,-87.6756,1001 N Winchester Ave,Chicago,IL,US,60622,"Filipino, Bakeries, American (New)"
314,ERYEi0job-Kwca1lkOcRhg,NoodleBird,75,4.5,3,41.93194357461772,-87.7023888774715,2957 W Diversey,Chicago,IL,US,60647,"Asian Fusion, Noodles"
315,HuB9hjq-X4LEEqxN2RhAVw,Kama,11,4.5,3,41.90971,-87.676833,1560 N Milwaukee Ave,Chicago,IL,US,60622,"Indian, Beer Bar, Cocktail Bars"
316,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,66,4.5,2,41.93495,-87.71647,2943 N Milwaukee Ave,Chicago,IL,US,60618,"American (New), Burgers, Cocktail Bars"
317,4i1Ny2zIE1VJSU9gLMkHqg,Lula Cafe,2179,4.5,2,41.927668036295,-87.706845233929,2537 N Kedzie Blvd,Chicago,IL,US,60647,"American (New), Breakfast & Brunch, Desserts"
318,D3tJ-N85kZddAwetQHTpkQ,Dell Rooster - Chicago,97,5.0,2,41.89575636351244,-87.67324000597,1825 W Chicago Ave,Chicago,IL,US,60622,"Latin American, Breakfast & Brunch, Sandwiches"
319,qUhMEd8oDAwGqBEF9mNKFQ,Andros Taverna,305,4.0,3,41.92733834914246,-87.7049751842139,2542 N Milwaukee,Chicago,IL,US,60647,"Greek, Mediterranean, Seafood"
320,hBb2RcUVumohfY2kbGKvKQ,Hide+Seek,140,4.0,3,41.88466,-87.64899,838 W Randolph St,Chicago,IL,US,60607,"American (New), Venues & Event Spaces, Cocktail Bars"
321,8XNGM8f0QLSOqDEactfigA,Split-Rail,295,4.5,2,41.8959276538074,-87.6895823702216,2500 W Chicago Ave,Chicago,IL,US,60622,"American (Traditional), Cocktail Bars, Chicken Wings"
322,iOMvXQYFl6_mtw0wX6ZUXw,Forbidden Root,586,4.5,2,41.89628,-87.671551,1746 W Chicago Ave,Chicago,IL,US,60622,"Brewpubs, Tapas/Small Plates, Cocktail Bars"
323,b2N01JkMCWNYy1D2uH341A,Wazwan - Chicago,117,4.5,2,41.90354,-87.67166,1742 W Division St,Chicago,IL,US,60607,"Indian, Halal"
324,m5gfWEQI7BYTKWMYF-X-Ug,No Vacancy,50,4.5,2,41.89115,-87.63375,509 N Wells St,Chicago,IL,US,60654,"American (New), Wine Bars, Beer, Wine & Spirits"
325,IqJKz6-IBIbcfUcotMXO8Q,Cafe Istanbul,278,4.5,2,41.9034987,-87.6778866,2014 W Division St,Chicago,IL,US,60622,"Turkish, Mediterranean"
326,xJEA6P6VS-Ukl9dmjleDkw,Silli Kori,342,4.5,2,41.90286,-87.67935,2053 W Division St,Chicago,IL,US,60622,"Thai, Asian Fusion"
327,faOpq9ORL0FlsMrou2NYug,Amaru,379,4.5,3,41.910699,-87.675507,1904 W North Ave,Chicago,IL,US,60622,"Latin American, Caribbean, Cocktail Bars"
328,bQDXNksi5lQ4YRv0kGSzjQ,The Welcome Back Lounge,82,4.5,2,41.92549,-87.701022,2423 N Milwaukee Ave,Chicago,IL,US,60647,"Bars, American (Traditional)"
329,f3mkFF9TW4nSSCmHw3N97A,Testaccio,136,4.5,3,41.9265,-87.6978,2456 N California Ave,Chicago,IL,US,60647,"Italian, Mediterranean"
330,OLLCYpaF_cWzrZ-Hd7FYMQ,Lardon,111,4.5,2,41.921891836367266,-87.69749321372282,2200 N California Ave,Chicago,IL,US,60647,"Cafes, Sandwiches, Wine Bars"
331,V2jEs7sH44pcG1J9x59f9w,Dove's Luncheonette,745,4.0,2,41.909487,-87.677293,1545 N Damen Ave,Chicago,IL,US,60622,"Southern, Tex-Mex, Breakfast & Brunch"
332,CGz_5rdiR6RQdmScqS0XcA,1308 Chicago,24,5.0,3,41.90591,-87.65993,1308 N Elston Ave,Chicago,IL,US,60642,"American (New), Comfort Food, Cocktail Bars"
333,xoi7Cw7FoknAx5p880RtWQ,Au Cheval,8607,4.5,2,41.88466,-87.647668,800 W Randolph St,Chicago,IL,US,60607,"Bars, American (Traditional)"
334,T4j4q9Z3OFTTBA39Uv6lLA,Bad Habit,10,4.5,3,41.9188328905871,-87.68991989999999,2047 N Milwaukee Ave,Chicago,IL,US,60647,"Cocktail Bars, Burgers"
335,xFBQ1md6PDm7YEpJARoxAA,The VIG Chicago,778,4.0,2,41.9099251,-87.6345035,1527 N Wells St,Chicago,IL,US,60610,"American (Traditional), Cocktail Bars"
336,umw3lIhc_h9DUGjN0DklxQ,The Delta,459,4.0,2,41.91032,-87.67186,1745 W North Ave,Chicago,IL,US,60622,"Southern, Cocktail Bars, Breakfast & Brunch"
337,kUpqpEqkBjZguS1uA6NQYA,En Hakkore 2.0,571,4.5,2,41.90859268098761,-87.67442096514347,1467 N Milwaukee Ave,Chicago,IL,US,60622,"Asian Fusion, Poke, Sushi Bars"
338,FzYi3AVHoYZnWXe1BQrQEw,Mott St,945,4.0,2,41.9071254164458,-87.6673834605751,1401 N Ashland Ave,Chicago,IL,US,60622,"Asian Fusion, Bars"
339,r4V4cl1TGN2C_qC51YpEMA,Barcocina West Town,68,4.0,3,41.896263,-87.672913,1814 W Chicago Ave,Chicago,IL,US,60622,"Tacos, New Mexican Cuisine, Tapas/Small Plates"
340,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2270,4.0,2,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Chicago,IL,US,60603,"American (New), Seafood, Breakfast & Brunch"
341,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2560,4.0,2,41.930156679293,-87.707222394898,2657 N Kedzie Ave,Chicago,IL,US,60647,"Gastropubs, Whiskey Bars"
342,dro6ttzG0H2PlES0gI8LIg,Tortello,405,4.5,2,41.90343739642855,-87.67186413269891,1746 W Division St,Chicago,IL,US,60622,"Pasta Shops, Italian"
343,ruWJerAc9VW23GvegYddnQ,Gaijin,604,4.5,2,41.88583,-87.65182,950 W Lake St,Chicago,IL,US,60607,Japanese
344,DeNcVk-vHsRj2f7aovoaLg,Jack’s Wicker Park,68,4.0,3,41.90346,-87.67947,2056 W Division St,Chicago,IL,US,60622,"French, Bars, Sandwiches"
345,XHGWwHgX9p8dn2nOhqfJoQ,Little Wok Wicker Park,109,4.0,2,41.90351,-87.6768,1950 W Division St,Chicago,IL,US,60622,"Asian Fusion, Chinese, Sushi Bars"
346,KVXeukiPVOwrOMuD4mM7ug,Tandoor Char House,12,4.5,3,41.90009,-87.68733,1022 N Western Ave,Chicago,IL,US,60622,"Indian, Pakistani, Halal"
347,8YZUf9XTc9Z2jW5adHE5nA,Shabu Plus Rotary Hot Pot Wicker Park,73,4.5,3,41.9062306,-87.6713937,1352 N Milwaukee Ave,Chicago,IL,US,60622,Hot Pot
348,EYjyi_lytYaM1Ty7-kNKSg,Phodega,245,4.5,2,41.90334127310094,-87.6758734,1924 W Division St,Chicago,IL,US,60622,"Vietnamese, Hainan, Noodles"
349,UzksnYYQvh2tThSGTqUslA,2AM Izakaya,31,4.5,3,41.92228,-87.64465,2218 N Lincoln Ave,Chicago,IL,US,60614,"Japanese, Sushi Bars, Chinese"
350,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,9964,4.5,3,41.88418081770163,-87.64794679938692,809 W Randolph,Chicago,IL,US,60607,"American (New), Bakeries, Coffee & Tea"
351,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8287,4.5,3,41.890694,-87.624782,444 N Michigan Ave,Chicago,IL,US,60611,"Tapas/Small Plates, Mediterranean, American (New)"
352,okaqMJEoHfHblpKz9Q-CMA,The Perch,454,4.5,2,41.90348,-87.676221,1932 W Division,Chicago,IL,US,60622,"Breweries, American (New)"
353,hMNHD9LHs_R3vFCfTOGorw,Izakaya Shinya,63,4.5,3,41.91014,-87.68452,2255 W North Ave,Chicago,IL,US,60647,"Ramen, Cocktail Bars, Izakaya"
354,W2QV6SILHer3qB_-CZ1z1A,etta - Bucktown,1034,4.5,3,41.910731,-87.674285,1840 W North Ave,Chicago,IL,US,60622,"Pizza, American (New), Breakfast & Brunch"
355,VPJk-SEWSWS_nGoQvM-COw,Penumbra,849,5.0,2,41.924426,-87.710898,3309 W Fullerton Ave,Chicago,IL,US,60647,"Wine Bars, Seafood, Steakhouses"
356,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2143,4.5,2,41.8842528,-87.6293151,145 N Dearborn St,Chicago,IL,US,60602,"American (Traditional), Breakfast & Brunch, Beer, Wine & Spirits"
357,0qW7MJ0trxnoWzCHBiBgbQ,Union,51,4.5,3,41.9218,-87.69769,2202 N California Ave,Chicago,IL,US,60647,"American (New), Pubs"
358,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,915,4.0,2,41.92555,-87.70112,2427 N Milwaukee Ave,Chicago,IL,US,60647,American (New)
359,0ucCbCekcn5XdzvRXnHl2w,Desert Hawk,9,5.0,3,41.90288666670101,-87.67917606979607,2049 W Division St,Chicago,IL,US,60622,"American (Traditional), Bars"
360,VIV1fLOzjtzBeQwJBPIN2w,Lone Owl Pub,18,4.5,3,41.90976697949441,-87.67605189999999,1547 N Milwaukee Ave,Chicago,IL,US,60622,"Cocktail Bars, Lounges, Burgers"
361,wfkj7DK8YzhdwhhFc2OntA,Giant,640,4.5,3,41.9171,-87.70746,3209 W Armitage Ave,Chicago,IL,US,60647,"American (New), Beer Bar, Wine Bars"
362,ngB0iQM1Yz7Nx_tQZqU7NA,Daisies,441,4.5,3,41.924443845390954,-87.69964666704485,2375 N Milwaukee Ave,Chicago,IL,US,60647,"Pasta Shops, American (New), Cocktail Bars"
363,0IYXh7l_VppKw5y97FehoA,Kasama,640,4.5,2,41.899692,-87.6756,1001 N Winchester Ave,Chicago,IL,US,60622,"Filipino, Bakeries, American (New)"
364,ERYEi0job-Kwca1lkOcRhg,NoodleBird,75,4.5,3,41.93194357461772,-87.7023888774715,2957 W Diversey,Chicago,IL,US,60647,"Asian Fusion, Noodles"
365,HuB9hjq-X4LEEqxN2RhAVw,Kama,11,4.5,3,41.90971,-87.676833,1560 N Milwaukee Ave,Chicago,IL,US,60622,"Indian, Beer Bar, Cocktail Bars"
366,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,66,4.5,2,41.93495,-87.71647,2943 N Milwaukee Ave,Chicago,IL,US,60618,"American (New), Burgers, Cocktail Bars"
367,4i1Ny2zIE1VJSU9gLMkHqg,Lula Cafe,2179,4.5,2,41.927668036295,-87.706845233929,2537 N Kedzie Blvd,Chicago,IL,US,60647,"American (New), Breakfast & Brunch, Desserts"
368,D3tJ-N85kZddAwetQHTpkQ,Dell Rooster - Chicago,97,5.0,2,41.89575636351244,-87.67324000597,1825 W Chicago Ave,Chicago,IL,US,60622,"Latin American, Breakfast & Brunch, Sandwiches"
369,qUhMEd8oDAwGqBEF9mNKFQ,Andros Taverna,305,4.0,3,41.92733834914246,-87.7049751842139,2542 N Milwaukee,Chicago,IL,US,60647,"Greek, Mediterranean, Seafood"
370,hBb2RcUVumohfY2kbGKvKQ,Hide+Seek,140,4.0,3,41.88466,-87.64899,838 W Randolph St,Chicago,IL,US,60607,"American (New), Venues & Event Spaces, Cocktail Bars"
371,8XNGM8f0QLSOqDEactfigA,Split-Rail,295,4.5,2,41.8959276538074,-87.6895823702216,2500 W Chicago Ave,Chicago,IL,US,60622,"American (Traditional), Cocktail Bars, Chicken Wings"
372,iOMvXQYFl6_mtw0wX6ZUXw,Forbidden Root,586,4.5,2,41.89628,-87.671551,1746 W Chicago Ave,Chicago,IL,US,60622,"Brewpubs, Tapas/Small Plates, Cocktail Bars"
373,b2N01JkMCWNYy1D2uH341A,Wazwan - Chicago,117,4.5,2,41.90354,-87.67166,1742 W Division St,Chicago,IL,US,60607,"Indian, Halal"
374,m5gfWEQI7BYTKWMYF-X-Ug,No Vacancy,50,4.5,2,41.89115,-87.63375,509 N Wells St,Chicago,IL,US,60654,"American (New), Wine Bars, Beer, Wine & Spirits"
375,IqJKz6-IBIbcfUcotMXO8Q,Cafe Istanbul,278,4.5,2,41.9034987,-87.6778866,2014 W Division St,Chicago,IL,US,60622,"Turkish, Mediterranean"
376,xJEA6P6VS-Ukl9dmjleDkw,Silli Kori,342,4.5,2,41.90286,-87.67935,2053 W Division St,Chicago,IL,US,60622,"Thai, Asian Fusion"
377,faOpq9ORL0FlsMrou2NYug,Amaru,379,4.5,3,41.910699,-87.675507,1904 W North Ave,Chicago,IL,US,60622,"Latin American, Caribbean, Cocktail Bars"
378,bQDXNksi5lQ4YRv0kGSzjQ,The Welcome Back Lounge,82,4.5,2,41.92549,-87.701022,2423 N Milwaukee Ave,Chicago,IL,US,60647,"Bars, American (Traditional)"
379,f3mkFF9TW4nSSCmHw3N97A,Testaccio,136,4.5,3,41.9265,-87.6978,2456 N California Ave,Chicago,IL,US,60647,"Italian, Mediterranean"
380,OLLCYpaF_cWzrZ-Hd7FYMQ,Lardon,111,4.5,2,41.921891836367266,-87.69749321372282,2200 N California Ave,Chicago,IL,US,60647,"Cafes, Sandwiches, Wine Bars"
381,V2jEs7sH44pcG1J9x59f9w,Dove's Luncheonette,745,4.0,2,41.909487,-87.677293,1545 N Damen Ave,Chicago,IL,US,60622,"Southern, Tex-Mex, Breakfast & Brunch"
382,CGz_5rdiR6RQdmScqS0XcA,1308 Chicago,24,5.0,3,41.90591,-87.65993,1308 N Elston Ave,Chicago,IL,US,60642,"American (New), Comfort Food, Cocktail Bars"
383,xoi7Cw7FoknAx5p880RtWQ,Au Cheval,8607,4.5,2,41.88466,-87.647668,800 W Randolph St,Chicago,IL,US,60607,"Bars, American (Traditional)"
384,T4j4q9Z3OFTTBA39Uv6lLA,Bad Habit,10,4.5,3,41.9188328905871,-87.68991989999999,2047 N Milwaukee Ave,Chicago,IL,US,60647,"Cocktail Bars, Burgers"
385,xFBQ1md6PDm7YEpJARoxAA,The VIG Chicago,778,4.0,2,41.9099251,-87.6345035,1527 N Wells St,Chicago,IL,US,60610,"American (Traditional), Cocktail Bars"
386,umw3lIhc_h9DUGjN0DklxQ,The Delta,459,4.0,2,41.91032,-87.67186,1745 W North Ave,Chicago,IL,US,60622,"Southern, Cocktail Bars, Breakfast & Brunch"
387,kUpqpEqkBjZguS1uA6NQYA,En Hakkore 2.0,571,4.5,2,41.90859268098761,-87.67442096514347,1467 N Milwaukee Ave,Chicago,IL,US,60622,"Asian Fusion, Poke, Sushi Bars"
388,FzYi3AVHoYZnWXe1BQrQEw,Mott St,945,4.0,2,41.9071254164458,-87.6673834605751,1401 N Ashland Ave,Chicago,IL,US,60622,"Asian Fusion, Bars"
389,r4V4cl1TGN2C_qC51YpEMA,Barcocina West Town,68,4.0,3,41.896263,-87.672913,1814 W Chicago Ave,Chicago,IL,US,60622,"Tacos, New Mexican Cuisine, Tapas/Small Plates"
390,riT822EnU7y_5eCuJsd9sA,Cindy's Rooftop,2270,4.0,2,41.8816894031196,-87.6250061730162,12 S Michigan Ave,Chicago,IL,US,60603,"American (New), Seafood, Breakfast & Brunch"
391,m5_GCJP2W4zEJnyVgxa3eA,Longman & Eagle,2560,4.0,2,41.930156679293,-87.707222394898,2657 N Kedzie Ave,Chicago,IL,US,60647,"Gastropubs, Whiskey Bars"
392,dro6ttzG0H2PlES0gI8LIg,Tortello,405,4.5,2,41.90343739642855,-87.67186413269891,1746 W Division St,Chicago,IL,US,60622,"Pasta Shops, Italian"
393,ruWJerAc9VW23GvegYddnQ,Gaijin,604,4.5,2,41.88583,-87.65182,950 W Lake St,Chicago,IL,US,60607,Japanese
394,DeNcVk-vHsRj2f7aovoaLg,Jack’s Wicker Park,68,4.0,3,41.90346,-87.67947,2056 W Division St,Chicago,IL,US,60622,"French, Bars, Sandwiches"
395,XHGWwHgX9p8dn2nOhqfJoQ,Little Wok Wicker Park,109,4.0,2,41.90351,-87.6768,1950 W Division St,Chicago,IL,US,60622,"Asian Fusion, Chinese, Sushi Bars"
396,KVXeukiPVOwrOMuD4mM7ug,Tandoor Char House,12,4.5,3,41.90009,-87.68733,1022 N Western Ave,Chicago,IL,US,60622,"Indian, Pakistani, Halal"
397,8YZUf9XTc9Z2jW5adHE5nA,Shabu Plus Rotary Hot Pot Wicker Park,73,4.5,3,41.9062306,-87.6713937,1352 N Milwaukee Ave,Chicago,IL,US,60622,Hot Pot
398,EYjyi_lytYaM1Ty7-kNKSg,Phodega,245,4.5,2,41.90334127310094,-87.6758734,1924 W Division St,Chicago,IL,US,60622,"Vietnamese, Hainan, Noodles"
399,UzksnYYQvh2tThSGTqUslA,2AM Izakaya,31,4.5,3,41.92228,-87.64465,2218 N Lincoln Ave,Chicago,IL,US,60614,"Japanese, Sushi Bars, Chinese"
400,qjnpkS8yZO8xcyEIy5OU9A,Girl & The Goat,9964,4.5,3,41.88418081770163,-87.64794679938692,809 W Randolph,Chicago,IL,US,60607,"American (New), Bakeries, Coffee & Tea"
401,boE4Ahsssqic7o5wQLI04w,The Purple Pig,8287,4.5,3,41.890694,-87.624782,444 N Michigan Ave,Chicago,IL,US,60611,"Tapas/Small Plates, Mediterranean, American (New)"
402,okaqMJEoHfHblpKz9Q-CMA,The Perch,454,4.5,2,41.90348,-87.676221,1932 W Division,Chicago,IL,US,60622,"Breweries, American (New)"
403,hMNHD9LHs_R3vFCfTOGorw,Izakaya Shinya,63,4.5,3,41.91014,-87.68452,2255 W North Ave,Chicago,IL,US,60647,"Ramen, Cocktail Bars, Izakaya"
404,W2QV6SILHer3qB_-CZ1z1A,etta - Bucktown,1034,4.5,3,41.910731,-87.674285,1840 W North Ave,Chicago,IL,US,60622,"Pizza, American (New), Breakfast & Brunch"
405,VPJk-SEWSWS_nGoQvM-COw,Penumbra,849,5.0,2,41.924426,-87.710898,3309 W Fullerton Ave,Chicago,IL,US,60647,"Wine Bars, Seafood, Steakhouses"
406,PZe0q_153VHUnaR-8dOTJg,The Dearborn,2143,4.5,2,41.8842528,-87.6293151,145 N Dearborn St,Chicago,IL,US,60602,"American (Traditional), Breakfast & Brunch, Beer, Wine & Spirits"
407,0qW7MJ0trxnoWzCHBiBgbQ,Union,51,4.5,3,41.9218,-87.69769,2202 N California Ave,Chicago,IL,US,60647,"American (New), Pubs"
408,zm6Peew9j8YtowzUu4sQfA,The Whale Chicago,915,4.0,2,41.92555,-87.70112,2427 N Milwaukee Ave,Chicago,IL,US,60647,American (New)
409,0ucCbCekcn5XdzvRXnHl2w,Desert Hawk,9,5.0,3,41.90288666670101,-87.67917606979607,2049 W Division St,Chicago,IL,US,60622,"American (Traditional), Bars"
410,VIV1fLOzjtzBeQwJBPIN2w,Lone Owl Pub,18,4.5,3,41.90976697949441,-87.67605189999999,1547 N Milwaukee Ave,Chicago,IL,US,60622,"Cocktail Bars, Lounges, Burgers"
411,wfkj7DK8YzhdwhhFc2OntA,Giant,640,4.5,3,41.9171,-87.70746,3209 W Armitage Ave,Chicago,IL,US,60647,"American (New), Beer Bar, Wine Bars"
412,ngB0iQM1Yz7Nx_tQZqU7NA,Daisies,441,4.5,3,41.924443845390954,-87.69964666704485,2375 N Milwaukee Ave,Chicago,IL,US,60647,"Pasta Shops, American (New), Cocktail Bars"
413,0IYXh7l_VppKw5y97FehoA,Kasama,640,4.5,2,41.899692,-87.6756,1001 N Winchester Ave,Chicago,IL,US,60622,"Filipino, Bakeries, American (New)"
414,ERYEi0job-Kwca1lkOcRhg,NoodleBird,75,4.5,3,41.93194357461772,-87.7023888774715,2957 W Diversey,Chicago,IL,US,60647,"Asian Fusion, Noodles"
415,HuB9hjq-X4LEEqxN2RhAVw,Kama,11,4.5,3,41.90971,-87.676833,1560 N Milwaukee Ave,Chicago,IL,US,60622,"Indian, Beer Bar, Cocktail Bars"
416,HaX1xkisTWetyKUkuBAzzQ,Mother’s Ruin,66,4.5,2,41.93495,-87.71647,2943 N Milwaukee Ave,Chicago,IL,US,60618,"American (New), Burgers, Cocktail Bars"
417,4i1Ny2zIE1VJSU9gLMkHqg,Lula Cafe,2179,4.5,2,41.927668036295,-87.706845233929,2537 N Kedzie Blvd,Chicago,IL,US,60647,"American (New), Breakfast & Brunch, Desserts"
418,D3tJ-N85kZddAwetQHTpkQ,Dell Rooster - Chicago,97,5.0,2,41.89575636351244,-87.67324000597,1825 W Chicago Ave,Chicago,IL,US,60622,"Latin American, Breakfast & Brunch, Sandwiches"
419,qUhMEd8oDAwGqBEF9mNKFQ,Andros Taverna,305,4.0,3,41.92733834914246,-87.7049751842139,2542 N Milwaukee,Chicago,IL,US,60647,"Greek, Mediterranean, Seafood"
420,hBb2RcUVumohfY2kbGKvKQ,Hide+Seek,140,4.0,3,41.88466,-87.64899,838 W Randolph St,Chicago,IL,US,60607,"American (New), Venues & Event Spaces, Cocktail Bars"
421,8XNGM8f0QLSOqDEactfigA,Split-Rail,295,4.5,2,41.8959276538074,-87.6895823702216,2500 W Chicago Ave,Chicago,IL,US,60622,"American (Traditional), Cocktail Bars, Chicken Wings"
422,iOMvXQYFl6_mtw0wX6ZUXw,Forbidden Root,586,4.5,2,41.89628,-87.671551,1746 W Chicago Ave,Chicago,IL,US,60622,"Brewpubs, Tapas/Small Plates, Cocktail Bars"
423,b2N01JkMCWNYy1D2uH341A,Wazwan - Chicago,117,4.5,2,41.90354,-87.67166,1742 W Division St,Chicago,IL,US,60607,"Indian, Halal"
424,m5gfWEQI7BYTKWMYF-X-Ug,No Vacancy,50,4.5,2,41.89115,-87.63375,509 N Wells St,Chicago,IL,US,60654,"American (New), Wine Bars, Beer, Wine & Spirits"
425,IqJKz6-IBIbcfUcotMXO8Q,Cafe Istanbul,278,4.5,2,41.9034987,-87.6778866,2014 W Division St,Chicago,IL,US,60622,"Turkish, Mediterranean"
426,xJEA6P6VS-Ukl9dmjleDkw,Silli Kori,342,4.5,2,41.90286,-87.67935,2053 W Division St,Chicago,IL,US,60622,"Thai, Asian Fusion"
427,faOpq9ORL0FlsMrou2NYug,Amaru,379,4.5,3,41.910699,-87.675507,1904 W North Ave,Chicago,IL,US,60622,"Latin American, Caribbean, Cocktail Bars"
428,bQDXNksi5lQ4YRv0kGSzjQ,The Welcome Back Lounge,82,4.5,2,41.92549,-87.701022,2423 N Milwaukee Ave,Chicago,IL,US,60647,"Bars, American (Traditional)"
429,f3mkFF9TW4nSSCmHw3N97A,Testaccio,136,4.5,3,41.9265,-87.6978,2456 N California Ave,Chicago,IL,US,60647,"Italian, Mediterranean"
430,OLLCYpaF_cWzrZ-Hd7FYMQ,Lardon,111,4.5,2,41.921891836367266,-87.69749321372282,2200 N California Ave,Chicago,IL,US,60647,"Cafes, Sandwiches, Wine Bars"
431,V2jEs7sH44pcG1J9x59f9w,Dove's Luncheonette,745,4.0,2,41.909487,-87.677293,1545 N Damen Ave,Chicago,IL,US,60622,"Southern, Tex-Mex, Breakfast & Brunch"
432,CGz_5rdiR6RQdmScqS0XcA,1308 Chicago,24,5.0,3,41.90591,-87.65993,1308 N Elston Ave,Chicago,IL,US,60642,"American (New), Comfort Food, Cocktail Bars"
